======================================================================
Logging started at 2025-11-04 11:22:50
Log file   : logs/output_q2.txt
Using device: cuda
======================================================================
Starting Deep SARSA training for LunarLander-v3 (one update per step)
Iter 1280 | Eval mean = -67.43 | Max reward = -30.27 | Min reward = -173.26 | eps = 0.527
Iter 1290 | Eval mean = -40.75 | Max reward = 3.40 | Min reward = -111.55 | eps = 0.525
New best model saved (mean -40.75) at iter 1290
Iter 1300 | Eval mean = -16.89 | Max reward = 39.59 | Min reward = -55.59 | eps = 0.522
New best model saved (mean -16.89) at iter 1300
Iter 1310 | Eval mean = -108.92 | Max reward = -9.11 | Min reward = -219.88 | eps = 0.519
Iter 1320 | Eval mean = -41.93 | Max reward = 17.46 | Min reward = -126.79 | eps = 0.517
Iter 1330 | Eval mean = 16.64 | Max reward = 74.19 | Min reward = -42.93 | eps = 0.514
New best model saved (mean 16.64) at iter 1330
Iter 1340 | Eval mean = -25.78 | Max reward = 32.42 | Min reward = -54.81 | eps = 0.512
Iter 1350 | Eval mean = -48.96 | Max reward = 10.74 | Min reward = -96.87 | eps = 0.509
Iter 1360 | Eval mean = 77.52 | Max reward = 184.75 | Min reward = -28.30 | eps = 0.507
New best model saved (mean 77.52) at iter 1360
Iter 1370 | Eval mean = -22.02 | Max reward = 29.77 | Min reward = -58.46 | eps = 0.504
Iter 1380 | Eval mean = 159.36 | Max reward = 230.95 | Min reward = 61.46 | eps = 0.501
New best model saved (mean 159.36) at iter 1380
Iter 1390 | Eval mean = 3.76 | Max reward = 139.99 | Min reward = -40.74 | eps = 0.499
Iter 1400 | Eval mean = 190.53 | Max reward = 229.19 | Min reward = 158.94 | eps = 0.496
New best model saved (mean 190.53) at iter 1400
Iter 1410 | Eval mean = 195.86 | Max reward = 240.02 | Min reward = 85.99 | eps = 0.494
New best model saved (mean 195.86) at iter 1410
Iter 1420 | Eval mean = 179.89 | Max reward = 232.15 | Min reward = 73.22 | eps = 0.492
Iter 1430 | Eval mean = 169.29 | Max reward = 264.15 | Min reward = -52.69 | eps = 0.489
Iter 1440 | Eval mean = 152.30 | Max reward = 219.04 | Min reward = -37.65 | eps = 0.487
Iter 1450 | Eval mean = 167.62 | Max reward = 244.35 | Min reward = -28.36 | eps = 0.484
Iter 1460 | Eval mean = 201.38 | Max reward = 253.94 | Min reward = 38.56 | eps = 0.482
New best model saved (mean 201.38) at iter 1460
Iter 1470 | Eval mean = 86.03 | Max reward = 177.19 | Min reward = -37.36 | eps = 0.479
Iter 1480 | Eval mean = 159.82 | Max reward = 273.70 | Min reward = -68.75 | eps = 0.477
Iter 1490 | Eval mean = 226.18 | Max reward = 270.51 | Min reward = 125.64 | eps = 0.475
New best model saved (mean 226.18) at iter 1490
Iter 1500 | Eval mean = 203.79 | Max reward = 265.26 | Min reward = 121.64 | eps = 0.472
--> Iter 1500/7000 | AvgReward(last 500): -13.28 | AvgLoss: 22.064380 | Eps: 0.472 | ReplayLen: 100000
Iter 1510 | Eval mean = 201.48 | Max reward = 225.81 | Min reward = 177.76 | eps = 0.470
Iter 1520 | Eval mean = 225.07 | Max reward = 260.58 | Min reward = 171.69 | eps = 0.468
Iter 1530 | Eval mean = 194.92 | Max reward = 270.92 | Min reward = 112.32 | eps = 0.465
Iter 1540 | Eval mean = 216.27 | Max reward = 231.57 | Min reward = 185.71 | eps = 0.463
Iter 1550 | Eval mean = 232.73 | Max reward = 272.44 | Min reward = 104.67 | eps = 0.461
New best model saved (mean 232.73) at iter 1550
Iter 1560 | Eval mean = 237.02 | Max reward = 266.99 | Min reward = 210.70 | eps = 0.458
New best model saved (mean 237.02) at iter 1560
Iter 1570 | Eval mean = 213.96 | Max reward = 268.91 | Min reward = 64.09 | eps = 0.456
Iter 1580 | Eval mean = 219.81 | Max reward = 263.65 | Min reward = 125.94 | eps = 0.454
Iter 1590 | Eval mean = 243.55 | Max reward = 290.62 | Min reward = 126.71 | eps = 0.451
New best model saved (mean 243.55) at iter 1590
Iter 1600 | Eval mean = 240.55 | Max reward = 285.54 | Min reward = 118.98 | eps = 0.449
Iter 1610 | Eval mean = 233.06 | Max reward = 276.02 | Min reward = 96.62 | eps = 0.447
Iter 1620 | Eval mean = 235.26 | Max reward = 285.56 | Min reward = 87.78 | eps = 0.445
Iter 1630 | Eval mean = 173.53 | Max reward = 257.57 | Min reward = 76.76 | eps = 0.443
Iter 1640 | Eval mean = 196.10 | Max reward = 271.47 | Min reward = 83.24 | eps = 0.440
Iter 1650 | Eval mean = 98.84 | Max reward = 256.34 | Min reward = -45.31 | eps = 0.438
Iter 1660 | Eval mean = 141.26 | Max reward = 205.01 | Min reward = 101.42 | eps = 0.436
Iter 1670 | Eval mean = 205.84 | Max reward = 266.14 | Min reward = 115.87 | eps = 0.434
Iter 1680 | Eval mean = 181.77 | Max reward = 276.24 | Min reward = -276.79 | eps = 0.432
Iter 1690 | Eval mean = 217.81 | Max reward = 272.55 | Min reward = 124.80 | eps = 0.429
Iter 1700 | Eval mean = 201.96 | Max reward = 280.36 | Min reward = -45.20 | eps = 0.427
Iter 1710 | Eval mean = 235.36 | Max reward = 280.04 | Min reward = 143.07 | eps = 0.425
Iter 1720 | Eval mean = 128.70 | Max reward = 253.74 | Min reward = -616.00 | eps = 0.423
Iter 1730 | Eval mean = 247.65 | Max reward = 286.45 | Min reward = 195.82 | eps = 0.421
New best model saved (mean 247.65) at iter 1730
Iter 1740 | Eval mean = 210.47 | Max reward = 278.47 | Min reward = 108.03 | eps = 0.419
Iter 1750 | Eval mean = 231.41 | Max reward = 270.38 | Min reward = 120.55 | eps = 0.417
Iter 1760 | Eval mean = 243.72 | Max reward = 268.60 | Min reward = 200.01 | eps = 0.415
Iter 1770 | Eval mean = 202.33 | Max reward = 258.13 | Min reward = 95.00 | eps = 0.413
Iter 1780 | Eval mean = 127.04 | Max reward = 268.17 | Min reward = -364.29 | eps = 0.411
Iter 1790 | Eval mean = 186.32 | Max reward = 275.90 | Min reward = 98.27 | eps = 0.409
Iter 1800 | Eval mean = 197.54 | Max reward = 275.35 | Min reward = 38.60 | eps = 0.406
Iter 1810 | Eval mean = 131.78 | Max reward = 273.49 | Min reward = -1.69 | eps = 0.404
Iter 1820 | Eval mean = 97.51 | Max reward = 260.21 | Min reward = -941.95 | eps = 0.402
Iter 1830 | Eval mean = 200.18 | Max reward = 262.81 | Min reward = 121.30 | eps = 0.400
Iter 1840 | Eval mean = 200.31 | Max reward = 269.91 | Min reward = 22.22 | eps = 0.398
Iter 1850 | Eval mean = 158.23 | Max reward = 264.43 | Min reward = -155.66 | eps = 0.396
Iter 1860 | Eval mean = 214.43 | Max reward = 277.45 | Min reward = 37.72 | eps = 0.394
Iter 1870 | Eval mean = 214.01 | Max reward = 266.46 | Min reward = 48.87 | eps = 0.392
Iter 1880 | Eval mean = 80.36 | Max reward = 258.81 | Min reward = -180.19 | eps = 0.391
Iter 1890 | Eval mean = 176.78 | Max reward = 268.74 | Min reward = -140.88 | eps = 0.389
Iter 1900 | Eval mean = 236.97 | Max reward = 283.22 | Min reward = 120.15 | eps = 0.387
Iter 1910 | Eval mean = 210.19 | Max reward = 264.19 | Min reward = -124.67 | eps = 0.385
Iter 1920 | Eval mean = 239.20 | Max reward = 284.26 | Min reward = 105.26 | eps = 0.383
Iter 1930 | Eval mean = 235.37 | Max reward = 274.24 | Min reward = 124.49 | eps = 0.381
Iter 1940 | Eval mean = 229.51 | Max reward = 295.73 | Min reward = 106.07 | eps = 0.379
Iter 1950 | Eval mean = 212.43 | Max reward = 281.78 | Min reward = 97.28 | eps = 0.377
Iter 1960 | Eval mean = 223.31 | Max reward = 277.20 | Min reward = 103.77 | eps = 0.375
Iter 1970 | Eval mean = 231.51 | Max reward = 266.97 | Min reward = 130.92 | eps = 0.373
Iter 1980 | Eval mean = 216.40 | Max reward = 279.57 | Min reward = 91.55 | eps = 0.371
Iter 1990 | Eval mean = 230.46 | Max reward = 278.82 | Min reward = 129.55 | eps = 0.370
Iter 2000 | Eval mean = 173.56 | Max reward = 227.77 | Min reward = 94.90 | eps = 0.368
--> Iter 2000/7000 | AvgReward(last 500): 46.01 | AvgLoss: 22.658434 | Eps: 0.368 | ReplayLen: 100000
Iter 2010 | Eval mean = 242.91 | Max reward = 296.79 | Min reward = 106.22 | eps = 0.366
Iter 2020 | Eval mean = 217.55 | Max reward = 303.36 | Min reward = 115.27 | eps = 0.364
Iter 2030 | Eval mean = 164.90 | Max reward = 290.51 | Min reward = 85.92 | eps = 0.362
Iter 2040 | Eval mean = 220.54 | Max reward = 263.05 | Min reward = 117.30 | eps = 0.361
Iter 2050 | Eval mean = 225.72 | Max reward = 305.75 | Min reward = 87.81 | eps = 0.359
Iter 2060 | Eval mean = 222.49 | Max reward = 269.81 | Min reward = 134.72 | eps = 0.357
Iter 2070 | Eval mean = 222.71 | Max reward = 252.28 | Min reward = 114.02 | eps = 0.355
Iter 2080 | Eval mean = 243.03 | Max reward = 287.73 | Min reward = 171.20 | eps = 0.353
Iter 2090 | Eval mean = 207.67 | Max reward = 294.22 | Min reward = 62.03 | eps = 0.352
Iter 2100 | Eval mean = 176.49 | Max reward = 253.26 | Min reward = -26.20 | eps = 0.350
Iter 2110 | Eval mean = 226.35 | Max reward = 262.78 | Min reward = 120.09 | eps = 0.348
Iter 2120 | Eval mean = 201.94 | Max reward = 260.04 | Min reward = -29.97 | eps = 0.346
